SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|5|2023-02-01 13:09:58.745|TAG|-1.039|0.261|-0.21|A|5|0
stairs|5|2023-02-01 13:09:58.751|TAG|-1.011|0.277|-0.207|A|5|0
stairs|5|2023-02-01 13:09:58.759|TAG|-0.98|0.253|-0.23|A|5|0
stairs|5|2023-02-01 13:09:58.766|TAG|-0.953|0.222|-0.234|A|5|0
stairs|5|2023-02-01 13:09:58.774|TAG|-0.925|0.199|-0.222|A|5|0
stairs|5|2023-02-01 13:09:58.782|TAG|-0.914|0.14|-0.187|A|5|0
stairs|5|2023-02-01 13:09:58.789|TAG|-0.894|0.105|-0.179|A|5|0
stairs|5|2023-02-01 13:09:58.797|TAG|-0.878|0.062|-0.167|A|5|0
stairs|5|2023-02-01 13:09:58.805|TAG|-0.878|0.042|-0.152|A|5|0
stairs|5|2023-02-01 13:09:58.813|TAG|-0.882|0.027|-0.16|A|5|0
stairs|5|2023-02-01 13:09:58.821|TAG|-0.886|0.027|-0.144|A|5|0
stairs|5|2023-02-01 13:09:58.828|TAG|-0.875|0.003|-0.128|A|5|0
stairs|5|2023-02-01 13:09:58.836|TAG|-0.875|-0.007|-0.125|A|5|0
stairs|5|2023-02-01 13:09:58.844|TAG|-0.859|-0.035|-0.128|A|5|0
stairs|5|2023-02-01 13:09:58.852|TAG|-0.828|-0.062|-0.125|A|5|0
stairs|5|2023-02-01 13:09:58.860|TAG|-0.789|-0.078|-0.105|A|5|0
stairs|5|2023-02-01 13:09:58.868|TAG|-0.765|-0.089|-0.074|A|5|0
stairs|5|2023-02-01 13:09:58.875|TAG|-0.738|-0.093|-0.042|A|5|0
stairs|5|2023-02-01 13:09:58.883|TAG|-0.726|-0.085|-0.023|A|5|0
stairs|5|2023-02-01 13:09:58.891|TAG|-0.722|-0.066|0.007|A|5|0
stairs|5|2023-02-01 13:09:58.899|TAG|-0.738|-0.031|0.031|A|5|0
stairs|5|2023-02-01 13:09:58.908|TAG|-0.75|0.019|0.05|A|5|0
stairs|5|2023-02-01 13:09:58.914|TAG|-0.769|0.062|0.035|A|5|0
stairs|5|2023-02-01 13:09:58.922|TAG|-0.789|0.101|-0.011|A|5|0
stairs|5|2023-02-01 13:09:58.930|TAG|-0.789|0.125|-0.062|A|5|0
stairs|5|2023-02-01 13:09:58.938|TAG|-0.796|0.14|-0.105|A|5|0
stairs|5|2023-02-01 13:09:58.946|TAG|-0.808|0.167|-0.082|A|5|0
stairs|5|2023-02-01 13:09:58.954|TAG|-0.808|0.164|-0.085|A|5|0
stairs|5|2023-02-01 13:09:58.961|TAG|-0.792|0.136|-0.085|A|5|0
stairs|5|2023-02-01 13:09:58.969|TAG|-0.792|0.093|-0.117|A|5|0
stairs|5|2023-02-01 13:09:58.977|TAG|-0.777|0.046|-0.117|A|5|0
stairs|5|2023-02-01 13:09:58.985|TAG|-0.769|0.007|-0.066|A|5|0
stairs|5|2023-02-01 13:09:58.993|TAG|-0.773|-0.035|-0.023|A|5|0
stairs|5|2023-02-01 13:09:59.000|TAG|-0.804|-0.058|0.019|A|5|0
stairs|5|2023-02-01 13:09:59.008|TAG|-0.824|-0.089|0.035|A|5|0
stairs|5|2023-02-01 13:09:59.016|TAG|-0.847|-0.093|0.039|A|5|0
stairs|5|2023-02-01 13:09:59.024|TAG|-0.871|-0.082|0.078|A|5|0
stairs|5|2023-02-01 13:09:59.032|TAG|-0.917|-0.019|0.132|A|5|0
stairs|5|2023-02-01 13:09:59.040|TAG|-0.953|0.039|0.14|A|5|0
stairs|5|2023-02-01 13:09:59.047|TAG|-0.996|0.125|0.136|A|5|0
stairs|5|2023-02-01 13:09:59.055|TAG|-1.035|0.171|0.105|A|5|0
stairs|5|2023-02-01 13:09:59.063|TAG|-1.101|0.21|0.007|A|5|0
stairs|5|2023-02-01 13:09:59.071|TAG|-1.16|0.257|-0.085|A|5|0
stairs|5|2023-02-01 13:09:59.079|TAG|-1.191|0.281|-0.179|A|5|0
stairs|5|2023-02-01 13:09:59.086|TAG|-1.23|0.304|-0.261|A|5|0
stairs|5|2023-02-01 13:09:59.094|TAG|-1.25|0.324|-0.343|A|5|0
stairs|5|2023-02-01 13:09:59.102|TAG|-1.195|0.296|-0.375|A|5|0
stairs|5|2023-02-01 13:09:59.110|TAG|-1.093|0.277|-0.421|A|5|0
stairs|5|2023-02-01 13:09:59.118|TAG|-0.996|0.214|-0.457|A|5|0
stairs|5|2023-02-01 13:09:59.125|TAG|-0.917|0.117|-0.5|A|5|0
stairs|5|2023-02-01 13:09:59.133|TAG|-0.832|0.019|-0.542|A|5|0
stairs|5|2023-02-01 13:09:59.141|TAG|-0.781|-0.085|-0.574|A|5|0
stairs|5|2023-02-01 13:09:59.149|TAG|-0.742|-0.179|-0.578|A|5|0
stairs|5|2023-02-01 13:09:59.157|TAG|-0.726|-0.246|-0.519|A|5|0
stairs|5|2023-02-01 13:09:59.165|TAG|-0.753|-0.281|-0.441|A|5|0
stairs|5|2023-02-01 13:09:59.173|TAG|-0.789|-0.308|-0.359|A|5|0
stairs|5|2023-02-01 13:09:59.180|TAG|-0.855|-0.308|-0.234|A|5|0
stairs|5|2023-02-01 13:09:59.188|TAG|-0.917|-0.281|-0.156|A|5|0
stairs|5|2023-02-01 13:09:59.196|TAG|-1.027|-0.234|-0.078|A|5|0
stairs|5|2023-02-01 13:09:59.204|TAG|-1.187|-0.203|0.007|A|5|0
stairs|5|2023-02-01 13:09:59.211|TAG|-1.39|-0.164|0.015|A|5|0
stairs|5|2023-02-01 13:09:59.219|TAG|-1.457|-0.207|-0.054|A|5|0
stairs|5|2023-02-01 13:09:59.227|TAG|-1.468|-0.167|-0.203|A|5|0
stairs|5|2023-02-01 13:09:59.235|TAG|-1.464|-0.066|-0.218|A|5|0
